pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
11,278,19,19060,408880,71850,NA,W,12497,7,NA,3,1,8,4,1,3,1,5,1,1,2,2,1,2,1,2,2,5,2,1,2,0,3398,2,1,2,3,NA,NA,LEMONT,60439,4560,0.8864035087719299,0.00767543859649122,0.025,0.07324561403508772,0.01535087719298245,42795,Lemont,0,0,1,0,0,0,COMBINED SCHOOL DISTRICT C.C. NO. 113A,LEMONT TOWNSHIP HIGH SCHOOL  210,7.932,124519,FALSE,TRUE,TRUE
12,295,10,10031,451520,8670,NA,T,2891,14,NA,3,1,8,3,1,1,1,5,1,0,3,3,1,2,2,2,2,3,2,1,1,0,2789,2,1,2,NA,NA,NA,INVERNESS,60010,7280,0.7271978021978022,0.00357142857142857,0.18543956043956045,0.07486263736263736,0.01785714285714285,37608,Inverness,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,7.042,122931,FALSE,TRUE,TRUE
13,203,39,39110,133980,37150,NA,W,7078,61,NA,2,1,5,3,3,3,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,1277,2,1,1,NA,NA,NA,OAK LAWN,60453,4606,0.7477203647416414,0.01519756838905775,0.0145462440295267,0.21385149804602693,0.01736864958749457,54820,Oak Lawn,0,0,1,0,0,0,SCHOOL DISTRICT  123,COMMUNITY HIGH SCHOOL  218,13.148,77500,FALSE,TRUE,TRUE
14,278,17,17011,877110,69300,NA,W,6300,2,NA,1,1,8,4,1,1,1,5,1,1,3,4,1,2,2,2,2,3,1,2,2,0,2603,2,1,2,NA,NA,NA,EVANSTON,60201,4153,0.8458945340717554,0.0433421622923188,0.05538165181796292,0.01685528533590176,0.06862509029617145,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,138966,FALSE,TRUE,TRUE
15,211,31,31040,12200,23690,NA,O,4989,132,2,1,1,8,4,1,3,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,1578,2,2,2,NA,NA,1,MAYWOOD,60153,4092,0.12976539589442815,0.2612414467253177,2.4437927663734115e-4,0.6019061583577713,0.0136852394916911,47774,Maywood,0,0,1,0,0,1,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,21.667,59926,FALSE,TRUE,TRUE
16,203,18,18020,125670,23100,NA,W,6600,63,NA,1,1,5,3,4,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1060,2,1,1,NA,NA,NA,STREAMWOOD,60107,5601,0.48044991965720407,0.01553294054633101,0.03195857882520978,0.4642028209248349,0.01571148009284056,73157,Streamwood,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,10.958,64310,FALSE,TRUE,TRUE
17,210,70,70180,47080,24640,NA,W,4480,72,NA,2,1,5,3,3,3,1,5,2,0,2,1,0,2,2,2,2,7,NA,NA,NA,0,981,2,1,5,1,NA,NA,CHICAGO,60617,5126,0.00351150994927819,0.9921966445571596,0,0.00429184549356223,0,14000,Chicago,0,0,4,1,0,0,BURNHAM,BOWEN HS,6.908,30069,FALSE,FALSE,TRUE
18,234,72,72293,53610,24600,NA,W,3075,48,NA,3,1,5,3,3,1,1,5,2,0,3,1,1,2,NA,2,2,3,1,2,2,0,959,2,1,4,NA,NA,NA,CHICAGO,60609,1479,0.03042596348884381,0.9350912778904664,0,0.03448275862068965,0,14000,Chicago,0,0,3,1,0,0,HENDRICKS,PHILLIPS HS,6.89,23051,FALSE,TRUE,TRUE
19,205,37,37023,4270,21090,NA,O,5625,79,NA,3,1,5,2,1,3,1,5,1,0,3,1,1,2,2,2,2,1,2,1,2,0,1260,2,1,2,3,NA,NA,RIVERDALE,60827,6077,0.0396577258515715,0.8777357248642422,0.00378476221819976,0.04870824419944051,0.06022708573309199,64278,Riverdale,0,0,6,1,0,0,SCHOOL DISTRICT  148,THORNTON TOWNSHIP HIGH SCHOOL  205,32.335,38269,FALSE,TRUE,TRUE
20,203,71,71440,174120,62000,NA,W,4960,76,NA,2,1,5,3,1,1,1,5,2,0,1,1,0,2,2,2,2,5,1,2,2,0,1082,2,1,5,1,NA,NA,CHICAGO,60656,5696,0.8218047752808989,0.00280898876404494,0.02528089887640449,0.10445926966292136,0.08321629213483146,14000,Chicago,1,0,1,0,0,0,ORIOLE PARK,TAFT HS,6.884772382397572,75759,FALSE,TRUE,TRUE
21,204,30,30012,193510,70470,NA,T,10440,38,NA,2,1,8,4,4,3,1,5,1,1,3,2,1,2,NA,2,2,4,2,1,2,0,2539,2,1,1,NA,NA,NA,HICKORY HILLS,60457,4831,0.7536741875388119,0.06251293728006624,0,0.16228524115090043,0.04098530324984475,34514,Hickory Hills,0,0,1,0,0,0,SCHOOL DISTRICT  117,CONSOLIDATED HIGH SCHOOL  230,12.137,58895,FALSE,TRUE,TRUE
22,211,11,11060,248000,53810,NA,W,6150,102,3,1,1,14,6,1,3,2,5,1,0,1,3,0,2,2,2,2,3,1,2,2,0,3697,2,2,2,3,NA,1,BERWYN,60402,3593,0.34734205399387696,0.01502922349011967,0.0520456443083774,0.5763985527414417,0.01836905093236849,05573,Berwyn,0,0,1,0,0,0,SCHOOL DISTRICT  100,BERWYN CICERO STICKNEY HIGH SCHOOL 201,15.456,69167,FALSE,TRUE,TRUE
23,295,70,70180,61500,25080,NA,W,4560,63,NA,2,1,4,2,3,3,1,5,2,0,2,1,0,2,2,2,2,4,1,2,2,0,981,2,1,5,1,NA,NA,CHICAGO,60617,5126,0.00351150994927819,0.9921966445571596,0,0.00429184549356223,0,14000,Chicago,0,0,1,0,0,0,BURNHAM,BOWEN HS,6.908,30069,FALSE,TRUE,FALSE
24,278,29,29084,289960,115470,AV,W,19245,44,NA,1,1,8,4,3,3,1,5,1,1,3,2,1,NA,NA,2,2,3,1,1,2,0,2662,2,1,2,NA,NA,NA,PALATINE,60067,7183,0.7940971738827788,0.01127662536544619,0.14478630098844494,0.03703188082973688,0.02561603786718641,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,132222,FALSE,TRUE,TRUE
25,203,71,71430,209400,61500,NA,W,4920,73,NA,2,1,7,3,1,1,1,5,1,0,1,1,1,1,2,2,2,2,1,2,2,0,1263,2,1,5,1,NA,NA,CHICAGO,60656,4700,0.7976595744680851,8.51063829787234e-4,0.03723404255319149,0.15361702127659574,0.02127659574468085,14000,Chicago,0,0,1,0,0,0,GARVY,TAFT HS,6.894,81458,FALSE,TRUE,TRUE
26,206,72,72271,364990,88730,AV,O,8873,66,NA,2,1,8,4,3,3,2,5,2,1,3,2,1,NA,NA,2,2,3,2,2,2,0,2643,2,1,2,NA,NA,NA,CHICAGO,60643,4100,0.5251219512195122,0.35048780487804876,0.01682926829268292,0.08292682926829269,0.03560975609756097,14000,Chicago,0,0,1,0,0,0,SUTHERLAND,MORGAN PARK HS,6.908,122727,FALSE,TRUE,TRUE
27,203,39,39160,120130,50620,NA,T,10125,61,NA,3,1,6,3,4,3,1,5,1,0,2,1,1,1,2,2,2,3,2,1,2,0,1498,2,1,1,3,NA,NA,WORTH,60482,4444,0.786003600360036,0.03802880288028803,0.00877587758775877,0.15706570657065708,0.02025202520252025,83518,Worth,0,0,1,0,0,0,SCHOOL DISTRICT  127,COMMUNITY HIGH SCHOOL  218,14.393,49702,FALSE,TRUE,TRUE
28,278,28,28037,311770,161600,NA,T,46173,48,NA,3,1,8,4,3,3,1,5,1,1,3,2,0,2,NA,2,2,5,3,2,2,0,2843,2,1,2,NA,NA,NA,ORLAND PARK,60462,7020,0.8626780626780627,0.02008547008547008,0.01039886039886039,0.0737891737891738,0.0660968660968661,NA,NA,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,8.518,91250,FALSE,TRUE,TRUE
29,234,32,32180,126520,48450,NA,W,10202,30,NA,1,1,7,4,3,1,1,5,1,1,3,2,1,2,2,2,2,3,1,1,2,156,1467,2,1,4,NA,NA,NA,RICHTON PARK,60471,5161,0.11858167021894982,0.8337531486146096,0.00368145708196086,0.04223987599302461,0.00348769618291028,63706,Richton Park,0,0,1,0,0,0,SCHOOL DISTRICT 162,RICH TOWNSHIP HIGH SCHOOL  227,18.063,44595,FALSE,TRUE,TRUE
30,234,25,25072,264800,94500,NA,W,9000,68,NA,3,1,7,4,3,1,1,5,1,3,3,2,2,2,NA,2,2,1,2,1,2,282,2085,2,1,4,NA,NA,NA,NORTHBROOK,60062,6242,0.8646267222044216,0.05414931111823133,0.06087792374239026,0.00833066324895866,0.0193848125600769,53481,Northbrook,0,0,1,0,0,1,SCHOOL DISTRICT 28,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.43,103548,FALSE,TRUE,TRUE
31,203,13,13010,78920,10640,NA,W,5320,61,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,2,NA,2,2,3,1,2,2,0,1125,2,1,1,NA,NA,NA,BLUE ISLAND,60406,4724,0.06117696867061812,0.8685436071126165,0.0025402201524132,0.04699407281964437,0.03386960203217612,06704,Blue Island,0,0,1,0,0,0,SCHOOL DISTRICT  143 1/2,COMMUNITY HIGH SCHOOL  218,13.944,26342,FALSE,TRUE,TRUE
32,203,71,71070,262710,49600,NA,W,3100,120,NA,1,1,6,4,1,3,1,5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1673,2,1,5,1,NA,1,CHICAGO,60618,4909,0.33204318598492566,0.01629659808514972,0.10939091464656751,0.5198614789162762,0.04481564473416175,14000,Chicago,0,0,6,0,0,0,CLEVELAND,SCHURZ HS,6.901516611295682,60409,FALSE,TRUE,TRUE
33,208,22,22150,831580,92920,NA,W,8850,19,NA,1,1,10,5,1,3,1,5,1,2,1,2,1,2,2,2,2,3,1,2,2,0,4418,2,1,2,1,NA,NA,PARK RIDGE,60068,4457,0.912272829257348,0.00785281579537805,0.05317478124298856,0.02468027821404532,0.00403859098048014,57875,Park Ridge,0,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.938,134167,TRUE,TRUE,TRUE
34,210,31,31041,147900,27490,NA,W,3437,78,NA,3,1,6,3,3,3,1,5,1,0,3,1,1,2,2,2,2,7,NA,NA,NA,0,1280,2,1,2,NA,NA,NA,MELROSE PARK,60160,5149,0.2439308603612352,0.02796659545542823,0.00427267430569042,0.7238298698776462,0,48242,Melrose Park,0,0,1,0,0,0,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,11.117,67905,FALSE,FALSE,TRUE
35,211,71,71070,496540,79520,NA,W,4970,122,3,2,2,18,9,1,1,2,5,1,3,3,3,0,2,2,2,2,3,1,2,2,0,4284,2,2,3,NA,NA,1,CHICAGO,60647,5058,0.48536971134835905,0.04349545274812179,0.02688809806247528,0.4264531435349941,0.02945828390668248,14000,Chicago,0,0,1,0,0,0,DARWIN,CLEMENTE HS,6.915,46276,FALSE,TRUE,TRUE
36,211,73,73084,684370,200000,NA,W,3125,99,3,2,2,18,6,1,3,2,5,2,0,3,3,0,2,NA,2,2,3,1,2,2,0,3708,2,2,3,NA,NA,1,CHICAGO,60657,1781,0.8001122964626615,0.03032004491858506,0.11454239191465468,0.04716451431779898,0.01572150477259966,14000,Chicago,0,0,1,0,0,0,NETTELHORST,LAKE VIEW HS,6.89,115192,FALSE,TRUE,TRUE
37,212,71,71210,151320,22000,PX,W,3000,103,3,2,2,14,4,1,3,2,5,2,0,3,3,1,2,2,2,2,3,2,2,2,0,3965,2,2,3,NA,NA,1,CHICAGO,60639,5118,0.00781555295037123,0.6584603360687769,0.00468933177022274,0.3130128956623681,0.03204376709652207,14000,Chicago,0,0,1,0,0,1,LEWIS,FOREMAN HS,6.89,32225,FALSE,TRUE,TRUE
38,209,33,33050,1697990,384130,NA,W,36584,95,NA,2,1,15,7,1,1,1,5,1,2,1,6,1,2,2,2,2,8,2,1,2,0,10528,2,1,2,1,NA,NA,RIVER FOREST,60305,5895,0.7974554707379135,0.07684478371501273,0.04359626802374894,0.06870229007633588,0.02680237489397794,64304,River Forest,0,0,1,0,0,0,SCHOOL DISTRICT 90,CONSOLIDATED HIGH SCHOOL  200,10.646,126250,TRUE,TRUE,TRUE
39,295,38,38053,101880,73730,NA,W,3597,37,NA,1,1,6,3,2,3,1,5,1,1,3,1,1,2,NA,2,2,1,1,1,2,0,1335,2,1,2,NA,NA,NA,WHEELING,60090,6477,0.5646132468735525,0,0.24903504708970203,0.11394163964798518,0.1176470588235294,81087,Wheeling,0,0,1,0,0,0,SCH DIST 21 WHEELING COMM CONSOLIDATED,ARLINGTON HTS TWNSHP H S 214,11.237,77006,FALSE,TRUE,TRUE
40,205,71,71082,250170,103110,NA,W,4687,74,NA,2,1,5,2,1,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,960,2,1,2,NA,NA,NA,CHICAGO,60618,3684,0.4769272529858849,0.03800217155266015,0.08523344191096634,0.3707926167209555,0.0491313789359392,14000,Chicago,0,0,6,1,0,0,VON LINNE,SCHURZ HS,6.915,70234,FALSE,TRUE,TRUE
41,205,11,11070,107280,96250,NA,W,8954,106,NA,4,1,5,3,1,3,1,5,2,0,3,1,0,2,2,2,2,7,NA,NA,NA,0,1680,2,1,2,NA,NA,NA,BERWYN,60402,8292,0.2575976845151954,0.01193921852387843,0.00410033767486734,0.7130969609261939,0.02653159671972986,05573,Berwyn,0,0,3,0,0,0,SCHOOL DISTRICT  100,BERWYN CICERO STICKNEY HIGH SCHOOL 201,15.456,62167,FALSE,FALSE,TRUE
42,207,12,12142,42020,116820,NA,W,38942,16,NA,3,1,7,3,1,3,1,5,1,1,3,1,1,2,2,2,2,4,2,1,1,997,1791,2,1,2,NA,NA,NA,STEGER,60475,4193,0.14548056284283328,0.7042690197948962,0.01335559265442404,0.09181969949916528,0.09015025041736228,72520,Steger,0,0,1,0,0,0,SCHOOL DISTRICT  194,BLOOM TOWNSHIP HIGH SCHOOL  206,12.386,39044,FALSE,TRUE,TRUE
43,278,38,38051,254810,57780,NA,W,7705,32,NA,3,1,8,4,3,3,1,5,1,1,3,2,1,2,2,2,2,3,2,1,2,0,2416,2,1,2,NA,NA,NA,MOUNT PROSPECT,60056,7037,0.5918715361659799,0.00497371038794941,0.17677987778883048,0.2181327270143527,0.0113684808867415,51089,Mount Prospect,0,0,1,0,0,0,SCHOOL DISTRICT  26,ARLINGTON HTS TWNSHP H S 214,9.89,90106,FALSE,TRUE,TRUE
44,205,35,35030,164070,33150,NA,W,7800,91,NA,1,1,7,3,2,3,1,5,1,0,3,2,1,NA,NA,2,2,7,NA,NA,NA,0,1804,2,1,2,NA,NA,NA,HANOVER PARK,60133,6476,0.6400555898702903,0.02671402100061766,0.14978381717109326,0.14854848672019766,0.05975911056207535,32746,Hanover Park,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.763,83662,FALSE,FALSE,TRUE
45,204,21,21165,288470,137200,NA,W,19600,16,NA,2,1,6,4,1,3,1,5,1,1,3,2,1,2,1,2,2,5,2,1,2,0,2715,2,1,1,NA,NA,NA,WILLOW SPRINGS,60480,7653,0.773030184241474,0.00849340128054357,0.05370442963543708,0.13354240167254672,0.05880047040376323,82049,Willow Springs,0,0,1,0,0,0,SCHOOL DISTRICT 107,LYONS TOWNSHIP HIGH SCHOOL  204,8.305,106317,FALSE,TRUE,TRUE
46,234,22,22070,225140,85350,NA,T,11014,60,NA,3,1,7,3,3,1,1,5,1,0,1,2,0,2,NA,2,2,3,1,2,2,0,1398,2,1,4,3,NA,NA,MORTON GROVE,60053,3700,0.6045945945945946,0.00243243243243243,0.3245945945945946,0.01405405405405405,0.10864864864864864,50647,Morton Grove,0,0,6,1,0,0,SCHOOL DISTRICT  63,MAINE TOWNSHIP HIGH SCHOOL  207,9.008,88287,FALSE,TRUE,TRUE
47,295,17,17120,220190,32590,NA,W,2173,61,NA,3,1,5,2,1,1,1,5,2,0,3,1,1,2,2,2,2,7,NA,NA,NA,0,789,2,1,1,NA,NA,NA,EVANSTON,60201,4175,0.8941317365269461,0.00455089820359281,0.03688622754491018,0.04263473053892215,0.03880239520958083,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,141250,FALSE,FALSE,TRUE
48,202,31,31020,126190,23640,NA,W,4299,64,NA,3,1,5,3,1,3,1,5,1,0,2,1,0,NA,NA,2,2,4,1,2,2,0,992,2,1,1,3,NA,NA,BELLWOOD,60104,5020,0.04880478087649402,0.7386454183266933,7.968127490039841e-4,0.20916334661354585,0.00318725099601593,04975,Bellwood,0,1,6,1,0,0,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,19.52,52200,FALSE,TRUE,TRUE
49,203,72,72200,95600,31000,NA,T,3875,65,NA,2,1,6,3,1,3,2,5,2,0,2,1,0,2,2,2,2,1,1,2,2,0,1008,2,1,1,3,NA,NA,CHICAGO,60652,4498,0.1051578479324144,0.5969319697643397,0,0.2979101823032459,0,14000,Chicago,0,0,1,0,0,0,CARROLL,BOGAN HS,6.949,68935,FALSE,TRUE,TRUE
50,205,38,38070,227980,39050,NA,W,6249,72,NA,2,1,6,3,1,3,1,5,1,0,3,1,1,2,2,2,2,1,2,1,2,0,1200,2,1,2,NA,NA,NA,ARLINGTON HEIGHTS,60004,5310,0.8862523540489642,0.00772128060263653,0.04444444444444444,0.0615819209039548,0,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,83491,FALSE,TRUE,TRUE
51,205,21,21012,425580,66500,VG,W,7600,118,NA,4,1,6,4,1,1,2,5,2,1,2,1,1,2,2,2,2,3,1,2,2,0,1936,2,1,2,3,NA,NA,WESTERN SPRINGS,60558,5576,0.9036944045911048,0.01398852223816355,0.00914634146341463,0.05523672883787661,0.03586800573888091,80242,Western Springs,0,0,1,0,0,0,SCHOOL DISTRICT  101,LYONS TOWNSHIP HIGH SCHOOL  204,7.9,162765,FALSE,TRUE,TRUE
52,205,77,77080,95610,54880,NA,W,4222,107,NA,1,1,7,4,1,1,2,5,2,1,2,2,1,NA,NA,2,2,7,NA,NA,NA,0,1968,2,1,2,1,NA,NA,CHICAGO,60644,7295,0.01576422206991089,0.9461274845784784,0,0.03810829335161069,0,14000,Chicago,0,0,1,0,0,0,DE PRIEST,AUSTIN CCA HS,6.89,34829,FALSE,FALSE,TRUE
53,203,71,71070,343640,62490,NA,W,3906,119,NA,1,1,6,4,1,1,2,5,2,0,2,2,0,2,NA,2,2,3,1,2,2,0,1146,2,1,1,3,NA,NA,CHICAGO,60647,5058,0.48536971134835905,0.04349545274812179,0.02688809806247528,0.4264531435349941,0.02945828390668248,14000,Chicago,0,0,4,1,0,0,LOGANDALE,SCHURZ HS,6.915,46276,FALSE,TRUE,TRUE
54,205,71,71440,310010,67350,NA,W,5388,72,NA,2,1,6,3,1,1,1,5,1,0,1,1,1,2,2,2,2,2,1,2,2,0,1590,2,1,2,1,NA,NA,CHICAGO,60631,3364,0.8061831153388823,2.9726516052318666e-4,0.02972651605231866,0.13971462544589774,0.04815695600475624,14000,Chicago,1,0,1,0,0,0,EDISON PARK,TAFT HS,6.884772382397572,93778,FALSE,TRUE,TRUE
55,203,31,31010,136160,34170,NA,W,8041,65,NA,1,1,4,2,2,3,1,5,2,0,2,1,0,2,NA,2,2,3,1,2,2,0,1038,2,1,1,3,NA,NA,MELROSE PARK,60160,4289,0.14525530426672884,0.03310795057122873,0.0018652366519002,0.8197715085101422,0,48242,Melrose Park,0,0,1,0,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,12.457,40632,FALSE,TRUE,TRUE
56,203,39,39160,105050,64320,NA,W,12864,74,NA,1,1,6,3,4,3,1,5,2,0,2,1,0,NA,NA,2,2,1,1,2,2,0,1228,2,1,1,3,NA,NA,WORTH,60482,3509,0.8515246508976917,0.00769449985750926,0.00284981476204046,0.12368196067255628,0.02849814762040467,83518,Worth,0,0,1,0,0,0,SCHOOL DISTRICT  127,COMMUNITY HIGH SCHOOL  218,14.393,71830,FALSE,TRUE,TRUE
57,234,36,36041,162130,19800,NA,O,3600,58,NA,3,1,5,3,3,1,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1008,2,1,4,NA,NA,NA,BURBANK,60459,5085,0.7058013765978368,0.0344149459193707,0.01986234021632251,0.22281219272369715,0.03421828908554572,09642,Burbank,0,0,1,0,0,0,SCHOOL DISTRICT  111,COMMUNITY HIGH SCHOOL  220,12.287,57148,FALSE,FALSE,TRUE
58,211,77,77102,142700,39130,NA,W,3331,107,3,2,2,18,9,1,3,2,5,2,0,3,3,0,2,NA,2,2,3,1,2,2,0,3912,2,2,3,NA,NA,NA,CHICAGO,60624,2659,0.02106054907860097,0.9465964648364048,0,0.0041368935690109,0.0564121850319669,14000,Chicago,0,0,1,0,0,0,MELODY,MARSHALL HS,6.913,23944,FALSE,TRUE,TRUE
